I,psrj,ref,age,edot
1,J0006+1834,cnt96,5.24e+06,2.5e+32
2,J0007+7303,aaa+09c,1.39e+04,4.5e+35
3,J0014+4746,dth78,3.48e+07,1.2e+31
4,J0023+0923,hrm+11,*,*
5,J0024-7204C,mld+90,*,*
6,J0024-7204D,mlr+91,*,*
7,J0024-7204E,mlr+91,5.69e+08,8.8e+34
8,J0024-7204F,mlr+91,6.44e+08,1.4e+35
9,J0024-7204G,rlm+95,*,*
10,J0024-7204H,mlr+91,*,*
11,J0024-7204I,mlr+91,*,*
12,J0024-7204J,mlr+91,*,*
13,J0024-7204L,rlm+95,*,*
14,J0024-7204M,mlr+91,*,*
15,J0024-7204N,rlm+95,*,*
16,J0024-7204O,clf+00,1.38e+09,6.5e+34
17,J0024-7204P,clf+00,*,*
18,J0024-7204Q,clf+00,1.88e+09,2.0e+34
19,J0024-7204R,clf+00,*,*
20,J0024-7204S,clf+00,*,*
21,J0024-7204T,clf+00,4.09e+08,2.7e+34
22,J0024-7204U,clf+00,7.23e+08,4.6e+34
23,J0024-7204V,clf+00,*,*
24,J0024-7204W,clf+00,*,*
25,J0024-7204X,fre08,*,*
26,J0024-7204Y,fre08,*,*
27,J0024-7204Z,fre08,*,*
28,J0026+6320,jml+09,3.36e+07,1.8e+32
29,J0030+0451,lzb+00,7.58e+09,3.5e+33
30,J0033+57,hrk+08,*,*
31,J0033+61,hrk+08,*,*
32,J0034-0534,bhl+94,5.99e+09,3.0e+34
33,J0034-0721,lvw69a,3.66e+07,1.9e+31
34,J0040+5716,dtws85,6.15e+06,8.1e+31
35,J0045-7042,mfl+06,4.02e+06,3.9e+32
36,J0045-7319,mmh+91,3.29e+06,2.2e+32
37,J0048+3412,dtws85,8.19e+06,5.2e+31
38,J0051+0423,snt97,8.03e+08,6.2e+30
39,J0054+66,hrk+08,*,*
40,J0055+5117,dtws85,3.51e+06,4.0e+31
41,J0056+4756,dtws85,2.25e+06,1.2e+33
42,J0057-7201,ckm+01,1.17e+08,9.8e+30
43,J0058+6125,hrk+08,*,*
44,J0100-7211,lfmp02,6.76e+03,1.4e+33
45,J0101-6422,kcj+12,7.9e+09,1.2e+34
46,J0102+4839,hrm+11,*,*
47,J0102+6537,dbtb82,4.47e+06,5.0e+31
48,J0106+4855,pga+12,3.08e+06,2.9e+34
49,J0108-1431,tnj+94,1.66e+08,5.8e+30
50,J0108+6608,dls72,1.56e+06,2.4e+32
51,J0108+6905,dtws85,3.53e+08,1.5e+30
52,J0111-7131,mfl+06,1.54e+06,8.6e+32
53,J0113-7220,ckm+01,1.06e+06,5.5e+33
54,J0117+5914,stwd85,2.75e+05,2.2e+35
55,J0131-7310,mfl+06,3.13e+06,1.6e+33
56,J0133-6957,lml+98,6.12e+07,4.8e+31
57,J0134-2937,mld+96,2.77e+07,1.2e+33
58,J0137+1654,lxf+05,5.37e+08,6.8e+30
59,J0139+5814,dth78,4.03e+05,2.1e+34
60,J0141+6009,mth72,4.95e+07,8.4e+30
61,J0146+6145,ims94,6.85e+04,1.2e+32
62,J0147+5922,stwd85,1.21e+07,1.3e+33
63,J0151-0635,mlt+78,5.24e+07,5.6e+30
64,J0152+0948,clm+05,2.56e+07,3.2e+30
65,J0152-1637,mlt+78,1.02e+07,8.9e+31
66,J0156+3949,dtws85,1.89e+08,1.0e+30
67,J0157+6212,dls72,1.97e+05,5.7e+32
68,J0205+6449,mss+02,5.37e+03,2.7e+37
69,J0206-4028,mlt+78,8.33e+06,1.9e+32
70,J0211-8159,lml+98,5.89e+07,9.2e+30
71,J0215+6218,llc98,1.31e+07,1.6e+32
72,J0218+4232,nbf+95,4.76e+08,2.4e+35
73,J0231+7026,dtws85,7.47e+06,3.9e+31
74,J0240+62,hrk+08,*,*
75,J0243+6027,hrk+08,*,*
76,J0248+6021,rcl+99,6.24e+04,2.1e+35
77,J0255-5304,lvw69b,2.32e+08,1.3e+31
78,J0304+1932,fss73,1.7e+07,1.9e+31
79,J0308+74,hrm+11,*,*
80,J0323+3944,dth78,7.56e+07,9.0e+29
81,J0329+1654,lxf+05,6.58e+07,1.2e+31
82,J0332+5434,cp68,5.53e+06,2.2e+32
83,J0335+4555,dtws85,5.8e+08,1.5e+31
84,J0340+4130,hrm+11,*,*
85,J0341+5711,hrk+08,*,*
86,J0343-3000,bjd+06,7.22e+08,1.3e+29
87,J0343+5312,dth78,2.28e+06,7.3e+31
88,J0348+0432,lbr+13,2.56e+09,1.6e+32
89,J0357+3205,aaa+09c,5.4e+05,5.9e+33
90,J0357+5236,dtws85,6.55e+06,2.5e+33
91,J0358+5413,mth72,5.64e+05,4.5e+34
92,J0401-7608,mlt+78,5.62e+06,3.7e+32
93,J0406+6138,dth78,1.69e+06,1.0e+33
94,J0407+1607,lxf+05,5.15e+09,1.8e+32
95,J0408+551,hrk+08,*,*
96,J0408+552,hrk+08,*,*
97,J0413+58,hrk+08,*,*
98,J0415+6954,dtws85,8.08e+07,5.1e+31
99,J0417+35,cnst96,*,*
100,J0418+5732,vck+10,*,*
101,J0419+44,hrk+08,*,*
102,J0420-5022,hmz+04,1.98e+06,2.6e+31
103,J0421-0345,mld+96,2.94e+07,4.5e+30
104,J0426+4933,hrk+08,*,*
105,J0435+27,rtj+96,*,*
106,J0437-4715,jlh+93,1.59e+09,1.2e+34
107,J0448-2749,lml+98,4.81e+07,6.4e+31
108,J0449-7031,mfl+06,2.25e+06,1.2e+33
109,J0450-1248,mlt+78,6.76e+07,4.8e+31
110,J0451-67,mfl+06,*,*
111,J0452-1759,vlw69,1.51e+06,1.4e+33
112,J0454+5543,dth78,2.28e+06,2.4e+33
113,J0455-6951,mmh+91,4.97e+05,1.2e+34
114,J0456-7031,mfl+06,3.45e+05,2.8e+33
115,J0457-6337,mfl+06,1.88e+08,5.3e+29
116,J0458-0505,lbr+13,5.63e+07,3.1e+30
117,J0459-0210,mld+96,1.28e+07,3.8e+31
118,J0501+4516,gwk08,1.57e+04,1.2e+33
119,J0502+4654,dth78,1.81e+06,8.5e+32
120,J0502-6617,mmh+91,4.74e+05,2.8e+33
121,J0511-6508,mfl+06,2.48e+07,2.4e+32
122,J0514-4002A,fgri04,6.75e+10,3.7e+32
123,J0517+22,cha03,*,*
124,J0519+44,hrk+08,*,*
125,J0519-6932,mfl+06,5.98e+06,1.5e+33
126,J0520-2553,lml+98,1.27e+08,8.4e+31
127,J0522-6847,mfl+06,6.03e+05,2.3e+33
128,J0525+1115,mlt+78,7.63e+07,6.5e+31
129,J0525-6607,mgi+79,1.96e+03,4.9e+33
130,J0528+2200,sr68,1.48e+06,3.0e+31
131,J0529-6652,mhah83,9.97e+05,6.6e+32
132,J0532-6639,mfl+06,1.9e+06,8.0e+32
133,J0533+0402,snt97,9.54e+07,7.1e+30
134,J0533+67,rap+12,*,*
135,J0534+2200,sr68,1.24e+03,4.6e+38
136,J0534-6703,mfl+06,6.78e+04,2.8e+33
137,J0535-6935,ckm+01,2.76e+05,5.6e+34
138,J0536-7543,mlt+78,3.49e+07,1.2e+31
139,J0537-6910,mgz+98,4.93e+03,4.9e+38
140,J0538+2817,fcwa95,6.18e+05,4.9e+34
141,J0540+32,cfl+06,*,*
142,J0540-6919,shh84,1.67e+03,1.5e+38
143,J0540-7125,lml+98,2.48e+07,1.5e+31
144,J0543+2329,dls72,2.53e+05,4.1e+34
145,J0543-6851,mfl+06,2.85e+06,4.4e+32
146,J0546+2441,clm+05,5.89e+06,1.3e+31
147,J0555-7056,mfl+06,2.2e+06,4.1e+32
148,J0600-5756,mlt+78,1.29e+07,9.5e+30
149,J0601-0527,mlt+78,4.82e+06,8.3e+32
150,J0605+37,rap+12,*,*
151,J0609+2130,lxf+05,3.76e+09,5.4e+31
152,J0610-2100,bjd+06,4.95e+09,8.5e+33
153,J0611+30,cnst96,*,*
154,J0612+3721,stwd85,7.94e+07,8.9e+31
155,J0613-0200,lnl+95,5.06e+09,1.3e+34
156,J0614+2229,dls72,8.93e+04,6.2e+34
157,J0614-3329,rrc+11,2.84e+09,2.2e+34
158,J0621+0336,bkl+13,5.91e+08,1.5e+31
159,J0621+1002,cnst96,9.66e+09,7.8e+31
160,J0621+25,rap+12,*,*
161,J0622+3749,pga+12,2.08e+05,2.7e+34
162,J0623+0340,bkl+13,1.1e+08,1.5e+31
163,J0624-0424,mlt+78,1.98e+07,2.9e+31
164,J0625+10,cnst96,*,*
165,J0627+0649,bkl+13,3.23e+06,1.6e+33
166,J0627+07,cha03,*,*
167,J0627+0706,bkl+13,2.53e+05,1.1e+34
168,J0627+16,dcm+09,*,*
169,J0628+09,cfl+06,*,*
170,J0629+2415,dth78,3.78e+06,7.3e+32
171,J0630-0046,bkl+13,2.88e+06,4.7e+32
172,J0630-2834,lvw69a,2.77e+06,1.5e+32
173,J0631+1036,zcwl96,4.36e+04,1.7e+35
174,J0633+0632,aaa+09c,5.92e+04,1.2e+35
175,J0633+1746,hh92,3.42e+05,3.2e+34
176,J0633-2015,bjd+06,1.35e+07,4.4e+30
177,J0635+0533,cmn+00,*,*
178,J0636-4549,bjd+06,9.91e+06,1.6e+31
179,J0646+0905,bkl+13,1.95e+07,3.9e+31
180,J0647+0913,bkl+13,3.05e+06,1.3e+32
181,J0652-0142,bkl+13,9.6e+07,7.6e+30
182,J0653+8051,dbtb82,5.07e+06,8.4e+31
183,J0656-2228,bjd+06,7.27e+08,5.7e+29
184,J0656-5449,jbo+09,9.09e+07,2.1e+32
185,J0658+0022,bkl+13,9.75e+05,2.0e+33
186,J0659+1414,mlt+78,1.11e+05,3.8e+34
187,J0700+6418,dth78,4.52e+09,3.6e+30
188,J0709-5923,jbo+09,6.1e+07,4.4e+31
189,J0711+0931,lzb+00,4.81e+07,8.8e+30
190,J0711-6830,bjb+97,5.84e+09,3.6e+33
191,J0719-2545,bjd+06,2.12e+06,3.1e+32
192,J0720-3125,hmb+97,1.9e+06,4.7e+30
193,J0721-2038,bkl+13,5.6e+09,4.6e+32
194,J0725-1635,mld+96,7.26e+07,4.8e+31
195,J0726-2612,bjd+06,1.86e+05,2.8e+32
196,J0729-1448,mhl+02,3.52e+04,2.8e+35
197,J0729-1836,mlt+78,4.26e+05,5.6e+33
198,J0733-2345,lfl+06,4.99e+06,3.9e+31
199,J0734-1559,sbd+11,2.03e+05,1.3e+35
200,J0735-62,bb10,*,*
201,J0737-2202,mhl+02,9.28e+05,6.6e+33
202,J0737-3039A,bdp+03,2.04e+08,5.9e+33
203,J0737-3039B,lbk+04,4.92e+07,1.7e+30
204,J0738-4042,lvw68,3.68e+06,1.2e+33
205,J0742-2822,fss73,1.57e+05,1.4e+35
206,J0745-5353,mlt+78,1.25e+06,1.1e+34
207,J0746-4529,bjd+06,2.65e+06,3.0e+31
208,J0749-4247,mld+96,1.78e+07,2.9e+31
209,J0751+1807,lzc95,7.08e+09,7.3e+33
210,J0754+3231,dth78,2.12e+07,1.4e+31
211,J0758-1528,mlt+78,6.68e+06,2.0e+32
212,J0804-3647,bkl+13,8.25e+06,1.6e+31
213,J0806-4123,hmz+04,3.24e+06,1.5e+30
214,J0807-5421,bbb+12,2.21e+07,1.0e+32
215,J0808-3937,bkl+13,3.42e+07,2.4e+31
216,J0809-4753,mlt+78,2.81e+06,7.4e+32
217,J0811-38,kek+13,*,*
218,J0812-3905,bkl+13,1.7e+08,1.6e+31
219,J0814+7429,cp68,1.22e+08,3.1e+30
220,J0815+0939,clm+05,7.35e+07,2.0e+31
221,J0818-3049,bkl+13,2.09e+07,5.1e+31
222,J0818-3232,bjd+06,4.55e+07,2.9e+30
223,J0820-1350,vl70,9.32e+06,4.4e+31
224,J0820-3826,bkl+13,8.1e+05,5.0e+34
225,J0820-3921,bjd+06,1.4e+06,3.9e+32
226,J0820-4114,mlt+78,4.57e+08,4.6e+30
227,J0821-4221,bjd+06,1.81e+06,2.2e+33
228,J0821-4300,gh09,1.49e+06,3.3e+34
229,J0823+0159,mlt+78,1.31e+08,6.4e+30
230,J0826+2637,cls68,4.92e+06,4.5e+32
231,J0828-3417,mlt+78,2.94e+07,6.2e+30
232,J0831-4406,kbm+03,3.86e+06,1.7e+33
233,J0834-4159,kbm+03,4.32e+05,9.9e+34
234,J0834-60,ebvb01,*,*
235,J0835-3707,mlc+01,8.77e+05,2.4e+33
236,J0835-42,bbb+12,*,*
237,J0835-4510,lvm68,1.13e+04,6.9e+36
238,J0837+0610,phbc68,2.97e+06,1.3e+32
