        Source ,            PSR 
          Crab , PSR J0534+2200
  VERJ0006+727 ,  PSRJ0007+7303
 MGROJ0631+105 ,  PSRJ0631+1036
  MGROJ0632+17 ,  PSRJ0633+1746
 HESSJ1018-589 ,  PSRJ1016-5857
 HESSJ1023-575 ,  PSRJ1023-5746
 HESSJ1026-582 ,  PSRJ1028-5819
 HESSJ1119-614 ,  PSRJ1119-6127
 HESSJ1303-631 ,  PSRJ1301-6305
 HESSJ1356-645 ,  PSRJ1357-6429
 HESSJ1418-609 ,  PSRJ1418-6058
 HESSJ1420-607 ,  PSRJ1420-6048
 HESSJ1458-608 ,  PSRJ1459-6053
 HESSJ1514-591 ,  PSRJ1513-5906
 HESSJ1554-550 ,        \nodata
 HESSJ1616-508 ,  PSRJ1617-5055
 HESSJ1632-478 ,        \nodata
HESSJ1646-458B ,  PSRJ1648-4611
 HESSJ1640-465 ,        \nodata
 HESSJ1702-420 ,  PSRJ1702-4128
 HESSJ1708-443 ,  PSRJ1709-4429
 HESSJ1718-385 ,  PSRJ1718-3825
 HESSJ1804-216 ,  PSRJ1803-2137
 HESSJ1809-193 ,  PSRJ1809-1917
 HESSJ1813-178 ,  PSRJ1813-1749
 HESSJ1818-154 ,  PSRJ1818-1541  
 HESSJ1825-137 ,  PSRJ1826-1334
 HESSJ1831-098 ,  PSRJ1831-0952
 HESSJ1833-105 ,  PSRJ1833-1034
 HESSJ1837-069 ,  PSRJ1836-0655
 HESSJ1841-055 ,  PSRJ1838-0537
 HESSJ1846-029 ,  PSRJ1846-0258
 HESSJ1848-018 ,        \nodata
 HESSJ1849-000 ,   PSRJ1849-001
 HESSJ1857+026 ,  PSRJ1856+0245
  MGROJ1908+06 ,  PSRJ1907+0602
 HESSJ1912+101 ,  PSRJ1913+1011
  VERJ1930+188 ,  PSRJ1930+1852
MGROJ1958+2848 ,  PSRJ1958+2846
  VERJ1959+208 ,  PSRJ1959+2048
  MGROJ2019+37 ,  PSRJ2021+3651
  MGROJ2228+61 ,  PSRJ2229+6114
        Vela-X ,  PSRJ0835-4510
